Neighborhood Tabulation Area Code (NTA Code),Neighborhood Tabulation Area Name (NTA NAME),Borough Name,Total Population,Population Density (per Sq. Mi.),Total Number of Households,Area (Sq. Mi.),Street Mileage,Home Broadband Adoption (Percentage of Households),"Home Broadband Adoption by Quartiles (High, Medium-High, Medium-Low, Low)",Mobile Broadband Adoption (Percentage of Households),"Mobile broadband adoption by Quartiles (High, Medium-High, Medium-Low, Low)",Mobile Dependent Households (Percentage of Households),"Mobile Dependent Households Categorized by Quartiles (High, Medium-High, Medium-Low, Low)",Residential Broadband Choice Average by NTA,"Residential Broadband Choice Average by Quartiles (High, Medium-High, Medium-Low, Low)",Commercial Fiber ISP Choice Average by NTA,"Commercial Fiber Choice Average by Quartiles (High, Medium-High, Medium-Low, Low)",Commercial Fiber Max ISP Choice by NTA,"Commercial Fiber Max ISP Choice by Quartiles (High, Medium-High, Medium-Low, Low)",Percentage of Blocks without a Commercial Fiber Provider,Percentage of Blocks without a Commercial Fiber Provider by Quartiles,Percentage of Blocks with ISP Reported Speed Availability of >=25 Mbps (Broadband Speed),Percentage of Blocks with ISP Reported Speed Availability of >=900 Mbps,Number of Public Computer Centers with free public Wi-Fi,Public Wi-Fi in NYC Count,Number of Free Public Wi-Fi Access Points in a Pedestrian Corridor,Available Free Public Wi-Fi in a Pedestrian Corridor (Y/N),Estimated Number of Businesses,Number of Households,Total Accounts,Account Density,Account Density Quartile,Population Projections 2050,Households Receiving Benefits,Estimated Lifeline Eligible Households,Supportive Housing (NYCDHS),Low-Income Housing (NYCHA),Presence of IBZs,Number of NYCHA Buildings,Number of Public Schools,Number of DCAS Buildings,Number of NYC H+H Buildings,City Buildings with High Rooftops (7+ Floors) Capacity by Quartile,Street Furniture: FDNY Call Boxes,Street Furniture: Parking Pay Stations,Street Furniture: Bus Stop Shelters,Street Furniture: Bike Shelters,Street Furniture: City Benches,LinkNYC Kiosks,WalkNYC Sign Locations,Poles Reserved by Mobile Telecom Franchisee,Pole with Equipment Installed by Mobile Telecom Franchise,Density of Poles Reserved and with Equipment Installed for Mobile Telecom Franchise,Mobile Telecom Franchise Pole Density Level by Quartile,Empire City Subway Coverage (Percentage),Empire City Subway Coverage (Quartile),Percentage of Households with fewer than 3 broadband options available,Number of Fixed Wireless Providers Available,Estimated Aerial Plant Coverage (Percentage),Estimated Underground Plant Coverage (Percentage),Geographic Variations in Fiber Delivery Modes by NTA,Estimated Underground Utility Conflict Volume,Utility Pole Make-Ready - Estimated Required Number of Moves,Utility Pole Make-Ready - Estimated Relative Volume,NYC Internet Master Plan Open Access Infrastructure Cost Comparison Coefficient,NYC Internet Master Plan Open Access Infrastructure Cost Comparison Coefficient by Quartile,"Fiber Drops, Estimated Relative Costs","Indoor Cabling for Multiple Dwelling Units, Estimated  Relative Costs","Optimal for Unlicensed
QN35,Briarwood-Jamaica Hills,Queens,"42,224","40,175.45","8,659",1.05,42,0.75,Medium High,0.77,High,0.06,High,1.9,Medium Low,1.2,Medium-Low,3,Medium High,0.16,Medium High,0.99,0.99,1,2,0,false,"1,121","14,198","15,319",365,Medium Low,"41,833",326,"2,123",0,0,false,0,14,4,0,Low,86,64,17,0,1,0,1,6,13,0.45,Medium Low,0,,0.9,1,0.81,0.98,Above and Underground Network,Average,4,Average,1.31,Medium High,Average,Average,YES,0.34,191,0,YES,YES,NO,NO,Average underground interference from existing utilities.
QN37,Kew Gardens Hills,Queens,"38,404","28,259.17","13,133",1.36,47,0.77,Medium High,0.71,Medium High,0.04,Medium Low,1.8,Low,1.1,Low,2,Medium Low,0.25,High,1,1,2,1,0,false,700,"13,133","13,833",294,Medium Low,"37,852",413,"1,521",0,0,false,0,12,3,0,Medium Low,92,71,32,0,2,0,2,7,18,0.53,Medium Low,0,,0.97,1,0.13,0.76,Above and Underground Network,Average,4,Average,1.19,Medium High,Average,Average,YES,0.18,137,51,NO,NO,NO,NO,NONE
QN38,Pomonok-Flushing Heights-Hillcrest,Queens,"36,416","26,142.73","12,076",1.39,54,0.71,Medium Low,0.66,Low,0.04,Medium Low,1.9,Medium Low,1.2,Medium-Low,2,Medium Low,0.07,Medium Low,1,1,1,1,0,false,856,"12,076","12,932",239,Low,"35,038",628,"2,029",0,"2,071",false,3,4,3,1,Medium Low,75,33,33,0,4,0,0,12,16,0.52,Medium Low,0,,1,2,0.71,0.19,Above and Underground Network,Low,3,Low,1.09,Medium High,Low,High,YES,0.29,100,23,NO,NO,NO,NO,NONE
QN41,Fresh Meadows-Utopia,Queens,"18,700","18,770.79","6,658",1,42,0.82,High,0.79,High,0.04,Medium Low,2.1,Medium High,1,Low,2,Medium Low,0.1,Medium Low,1,1,2,5,0,false,658,"6,658","7,316",174,Low,"17,961",219,782,0,0,false,0,3,1,0,Low,50,40,14,0,3,0,0,3,0,0.07,Low,0,,0.64,1,0.24,0.46,Above and Underground Network,Low,3,Low,0.63,Medium Low,Low,High,YES,0.23,244,8,NO,NO,NO,NO,NONE
QN42,Oakland Gardens,Queens,"28,669","15,668.18","11,169",1.83,60,0.81,High,0.74,Medium High,0.05,Medium High,1.9,Medium Low,1.1,Low,3,Medium High,0.1,Medium Low,1,1,2,1,0,false,550,"11,169","11,719",195,Low,"28,981",162,"1,005",0,0,false,0,7,1,0,Low,94,19,15,0,3,0,0,13,12,0.42,Medium Low,0,,0.9,1,1,0,Above Ground (Utility Pole Presence),Low,3,Low,0.99,Medium High,Low,High,YES,0.07,119,8,NO,NO,NO,NO,NONE
QN43,Bellerose,Queens,"26,916","13,598.4","8,235",1.98,68,0.8,High,0.73,Medium High,0.05,Medium High,1.9,Medium Low,1.2,Low,3,Medium High,0.13,Medium High,1,1,1,7,0,false,264,"8,235","8,499",125,Low,"25,458",131,758,0,0,false,0,8,1,0,Medium Low,104,35,15,0,4,0,0,11,6,0.25,Low,0,,0.94,1,0.7,0.02,Above and Underground Network,Low,3,Low,0.72,Medium Low,Low,High,NO,0,169,2,NO,NO,NO,NO,NONE
QN44,Glen Oaks-Floral Park-New Hyde Park,Queens,"23,344","14,251.68","8,945",1.64,49,0.76,Medium High,0.71,Medium Low,0.03,Low,2.2,Medium High,1.1,Low,2,Medium Low,0.09,Medium Low,1,1,1,1,0,false,150,"8,945","9,095",186,Low,"22,767",60,397,0,0,false,0,6,2,0,None,68,28,9,0,3,0,0,12,2,0.29,Low,0,,0.89,1,0.45,0,Above Ground (Utility Pole Presence),Low,3,Low,0.81,Medium Low,Low,High,YES,0.06,118,8,YES,YES,NO,NO,Average to low underground interference from existing utilities.
QN45,Douglas Manor-Douglaston-Little Neck,Queens,"25,738","10,494.22","9,783",2.45,91,0.8,High,0.72,Medium High,0.04,Medium Low,2,Medium High,1.1,Low,2,Medium Low,0.12,Medium High,1,1,3,2,0,false,393,"9,783","10,176",112,Low,"25,016",25,663,0,0,false,0,5,12,0,Medium Low,116,44,4,0,8,0,0,0,8,0.09,Low,0,,0.93,2,0.64,0,Above Ground (Utility Pole Presence),Low,3,Low,0.86,Medium Low,Low,High,YES,0.03,63,4,NO,NO,NO,NO,NONE
QN46,Bayside-Bayside Hills,Queens,"44,864","15,480.77","15,707",2.9,110,0.83,High,0.76,High,0.05,Medium High,1.9,Medium Low,1.1,Low,3,Medium High,0.07,Medium Low,0.99,0.99,1,1,0,false,925,"15,707","16,632",151,Low,"44,484",264,"1,337",0,0,false,0,8,9,0,High,192,129,13,0,22,0,1,12,40,0.47,Medium Low,0,,1,2,0.99,0.26,Above and Underground Network,Low,3,Low,1.42,Medium High,Low,High,YES,0.04,213,0,YES,YES,YES,NO,"Average to low underground interference from existing utilities.
Low make-ready requirements. Of the sample poles surveyed 60% required make-ready, and 0% required pole replacement. 
General findings for this area include; spacing issues with current utility attachments in the telecom space, broken lashing wire on some attachments, and some locations had telecom service drops crossing the roadway without proper clearance."
QN47,Ft. Totten-Bay Terrace-Clearview,Queens,"21,945","13,216.21","9,887",1.66,43,0.78,High,0.72,Medium High,0.06,High,1.8,Medium Low,1.1,Low,3,Medium High,0.32,High,0.77,0.77,3,2,0,false,469,"9,887","10,356",241,Low,"21,920",38,502,0,0,false,0,4,3,0,Low,86,18,20,0,0,0,0,6,13,0.44,Medium Low,0,,1,1,0.44,0.37,Above and Underground Network,Low,3,Low,0.89,Medium High,Low,High,YES,0.18,273,24,NO,NO,NO,NO,NONE
QN48,Auburndale,Queens,"20,609","16,817.81","6,937",1.23,49,0.79,High,0.72,Medium High,0.05,Medium High,1.9,Medium Low,1.1,Low,2,Medium Low,0.08,Medium Low,0.99,0.99,1,1,0,false,"1,071","6,937","8,008",163,Low,"20,412",98,660,0,0,false,0,4,2,0,Low,79,23,14,0,2,0,0,10,14,0.49,Medium Low,0,,1,1,0.61,0.36,Above and Underground Network,Low,3,Low,0.68,Medium Low,Low,High,YES,0.05,170,45,NO,NO,NO,NO,NONE
QN49,Whitestone,Queens,"31,090","12,554.35","11,275",2.48,83,0.81,High,0.7,Medium Low,0.04,Medium Low,1.9,Medium Low,1.1,Low,2,Medium Low,0.12,Medium High,0.97,0.97,1,1,0,false,934,"11,275","12,209",147,Low,"31,394",126,848,0,0,false,0,4,13,0,Low,131,34,11,0,2,0,0,6,29,0.42,Medium Low,0,,1,2,0.97,0.1,Above and Underground Network,Low,3,Low,1.03,Medium High,Low,High,YES,0.09,139,21,NO,NO,NO,NO,NONE
QN50,Elmhurst-Maspeth,Queens,"26,460","33,642.65","7,825",0.79,34,0.79,High,0.79,High,0.02,Low,2.6,High,1.3,Medium-Low,3,Medium High,0.21,High,1,1,0,12,12,true,"1,680","7,825","9,505",280,Medium Low,"29,655",422,"1,344",0,0,true,0,5,3,0,Low,55,39,4,0,3,12,3,3,4,0.21,Low,0,,0.26,3,0.56,0.89,Above and Underground Network,Average,4,Average,0.83,Medium Low,Average,Average,YES,0.18,54,3,NO,NO,NO,NO,NONE
QN51,Murray Hill,Queens,"52,659","27,970.68","17,653",1.88,57,0.65,Medium Low,0.63,Low,0.07,High,2,Medium Low,1.2,Low,3,Medium High,0.04,Low,1,1,1,6,0,false,"2,404","17,653","20,057",352,Medium Low,"52,719",687,"3,173",0,0,false,0,6,5,0,Low,120,83,22,0,1,0,0,8,33,0.72,Medium High,0,,0.81,2,0.99,0.75,Above and Underground Network,Average,4,Average,1.72,High,Average,Average,YES,0.13,98,8,NO,NO,NO,NO,NONE
QN52,East Flushing,Queens,"26,436","25,023.55","8,231",1.06,31,0.69,Medium Low,0.63,Low,0.05,Medium High,2,Medium High,1,Low,2,Medium Low,0.01,Low,1,1,2,4,0,false,"1,739","8,231","9,970",322,Medium Low,"27,661",253,"1,741",0,0,false,0,2,3,0,Low,71,29,9,0,3,0,0,3,15,0.58,Medium Low,0,,0.93,1,0.98,0.78,Above and Underground Network,Average,4,Average,0.86,Medium Low,Average,Average,YES,0.07,91,0,NO,NO,NO,NO,NONE
QN53,Woodhaven,Queens,"62,821","47,335.92","17,208",1.33,54,0.76,Medium High,0.75,Medium High,0.06,High,2,Medium High,1,Low,1,Low,0.05,Low,1,1,2,19,14,true,499,"17,208","17,707",328,Medium Low,"58,665",484,"3,000",0,0,false,0,6,9,0,Low,75,91,17,0,4,14,6,4,20,0.44,Medium Low,0,,0.89,1,1,0.96,Above and Underground Network,Average,4,Average,1.52,High,Average,Average,YES,0.02,191,0,YES,YES,YES,NO,"Average to high underground interference from existing utilities. 
Average to low make-ready requirements. Of the sample poles surveyed 33% required make-ready, and 0% required pole replacement. 
General findings for this area include; the presence of call boxes and low voltage wires on pole lines and telecom drop that do not meet proper clearances."
QN54,Richmond Hill,Queens,"68,275","37,339.48","17,392",1.83,61,0.73,Medium High,0.77,High,0.06,High,1.9,Medium Low,1.2,Medium-Low,3,Medium High,0.07,Medium Low,1,1,2,29,23,true,741,"17,392","18,133",297,Medium Low,"67,126",722,"3,863",0,0,true,0,13,8,0,Medium Low,129,92,34,0,16,22,1,16,19,0.57,Medium Low,0,,1,1,0.75,0.96,Above and Underground Network,Average,4,Average,1.56,High,Average,Average,NO,0.001,107,34,NO,NO,NO,NO,NONE
QN55,South Ozone Park,Queens,"85,411","28,877.26","21,939",2.96,95,0.76,Medium High,0.73,Medium High,0.04,Medium Low,1.9,Medium Low,1.1,Low,2,Medium Low,0.09,Medium Low,0.98,0.98,2,2,0,false,522,"21,939","22,461",236,Low,"76,732","1,229","4,157",0,0,false,0,10,22,0,High,130,187,20,1,8,0,0,21,15,0.38,Low,0,,1,2,1,0.01,Above and Underground Network,Low,3,Low,1.93,High,Low,High,YES,0.04,76,17,NO,NO,NO,NO,NONE
QN56,Ozone Park,Queens,"23,415","26,082.17","6,909",0.9,33,0.8,High,0.78,High,0.07,High,1.9,Medium Low,1,Low,1,Low,0.11,Medium Low,1,1,1,1,0,false,429,"6,909","7,338",222,Low,"21,774",159,"1,096",0,0,false,0,6,12,0,Low,39,67,10,0,3,0,3,8,9,0.52,Medium Low,0,,0.98,2,1,0.21,Above and Underground Network,Low,3,Low,0.63,Medium Low,Low,High,NO,0.01,140,8,NO,NO,NO,NO,NONE
QN57,Lindenwood-Howard Beach,Queens,"28,247","12,309.69","10,511",2.29,66,0.73,Medium High,0.65,Low,0.05,Medium High,1.9,Medium Low,1,Low,1,Low,0.18,Medium High,0.96,0.96,1,1,0,false,477,"10,511","10,988",166,Low,"26,339",123,"1,131",0,0,false,0,3,28,0,Low,82,52,10,0,1,0,3,6,4,0.15,Low,0,,0.98,2,1,0.02,Above and Underground Network,Low,3,Low,0.94,Medium High,Low,High,YES,0.05,152,0,YES,YES,YES,NO,"Low underground interference from existing utilities.  
Low make-ready requirements. Of the sample poles surveyed 0% required make-ready, and 0% required pole replacement. 
General findings for this area include; no substantial compliance violations or make ready concerns."
QN60,Kew Gardens,Queens,"23,719","32,150.67","10,154",0.74,32,0.74,Medium High,0.72,Medium High,0.05,Medium High,1.8,Low,1.4,Medium-High,3,Medium High,0.28,High,0.94,0.94,0,10,5,true,556,"10,154","10,710",335,Medium Low,"23,619",362,"1,126",0,0,false,0,1,8,0,Low,43,40,13,0,6,5,1,4,10,0.44,Medium Low,0,,0.94,1,0.11,1,Above and Underground Network,Average,4,Average,0.9,Medium High,Average,Average,YES,0.55,126,8,NO,NO,NO,NO,NONE
QN61,Jamaica,Queens,"55,597","32,764.93","21,370",1.7,55,0.64,Medium Low,0.68,Medium Low,0.08,High,1.8,Low,1.3,Medium-Low,3,Medium High,0.14,Medium High,1,1,5,25,18,true,757,"15,831","16,588",302,Medium Low,"65,735","1,166","4,257",100,530,true,3,9,16,0,Medium High,154,195,34,0,6,18,18,30,23,0.96,Medium High,0,,1,1,0.94,0.87,Above and Underground Network,Average,4,Average,1.43,High,Average,Average,YES,0.42,189,4,NO,NO,NO,NO,NONE
QN62,Queensboro Hill,Queens,"21,460","22,525.02","5,968",0.95,35,0.68,Medium Low,0.69,Medium Low,0.08,High,1.9,Medium Low,1.1,Low,2,Medium Low,0.11,Medium High,1,1,1,7,0,false,"1,657","5,968","7,625",218,Low,"21,179",210,"1,480",0,0,false,0,2,3,0,Low,61,44,11,0,0,0,4,5,13,0.51,Medium Low,0,,1,1,0.88,0.73,Above and Underground Network,Low,3,Low,0.65,Medium Low,Low,High,NO,0.01,222,7,NO,NO,NO,NO,NONE
QN63,Woodside,Queens,"45,702","45,106.27","15,879",1.01,42,0.78,High,0.78,High,0.03,Low,2.5,High,1.3,Medium-Low,3,Medium High,0.25,High,1,1,1,16,7,true,"1,675","15,879","17,554",418,Medium Low,"51,598",619,"2,253",0,0,true,0,4,8,0,Low,58,89,17,0,5,6,2,12,7,0.45,Medium Low,0,,0.28,3,0.65,0.94,Above and Underground Network,Average,4,Average,1.52,High,Average,Average,YES,0.39,127,21,NO,NO,NO,NO,NONE
QN66,Laurelton,Queens,"26,924","18,867.48","8,085",1.43,57,0.62,Low,0.76,High,0.16,High,2,Medium High,1.1,Low,2,Medium Low,0.01,Low,1,1,1,1,0,false,482,"8,085","8,567",150,Low,"24,903",309,586,0,0,false,0,5,10,0,Low,42,20,9,0,2,0,0,7,18,0.44,Medium Low,0,,1,1,1,0,Above Ground (Utility Pole Presence),Low,3,Low,0.73,Medium Low,Low,High,NO,0,94,4,NO,NO,NO,NO,NONE
QN68,Queensbridge-Ravenswood-Long Island City,Queens,"18,927","22,630.87","7,912",0.84,29,0.66,Medium Low,0.69,Medium Low,0.04,Medium Low,3.4,High,1.6,Medium-High,4,High,0.12,Medium High,1,1,6,29,8,true,"2,319","7,912","10,231",353,Medium Low,"31,059",651,"1,996",0,"5,313",true,12,10,1,0,Medium Low,73,64,18,0,3,8,5,18,7,0.86,Medium High,0,,0.51,3,0.59,0.91,Above and Underground Network,Average,4,Average,0.87,Medium High,Average,Average,YES,0.79,190,15,YES,YES,NO,YES,"Average to high underground interference from existing utilities.  
Area suitable for fixed wireless."
QN70,Astoria,Queens,"77,252","54,755.49","33,929",1.41,44,0.77,Medium High,0.76,High,0.04,Medium Low,2.5,High,1.4,Medium-High,3,Medium High,0.2,Medium High,1,1,2,54,51,true,"1,283","33,929","35,212",800,High,"90,077",988,"3,503",0,"3,523",true,7,9,14,0,Medium Low,107,327,44,1,15,50,0,15,11,0.59,Medium Low,0,,0.32,3,0.74,1,Above and Underground Network,High,4.5,High,3.05,High,High,Low,YES,0.49,227,7,NO,NO,NO,NO,NONE
QN71,Old Astoria,Queens,"28,110","50,172.21","11,217",0.56,18,0.76,Medium High,0.74,Medium High,0.04,Medium Low,2.8,High,1.2,Medium-Low,3,Medium High,0.12,Medium High,0.99,0.99,2,7,6,true,782,"11,217","11,999",667,High,"41,693",517,"1,684",0,"1,104",false,5,6,1,0,Low,45,43,13,0,6,2,1,9,5,0.78,Medium High,0,,0.17,3,0.96,0.9,Above and Underground Network,High,4.5,High,1.05,Medium High,High,Low,YES,0.96,69,0,NO,NO,NO,NO,NONE
QN72,Steinway,Queens,"48,179","23,250.67","19,560",2.07,56,0.8,High,0.77,High,0.03,Low,2.5,High,1.1,Low,3,Medium High,0.22,High,1,1,1,1,0,false,929,"19,560","20,489",366,Medium Low,"53,110",501,"1,612",0,0,true,0,5,10,0,Medium Low,112,85,32,0,3,0,0,16,13,0.52,Medium Low,0,,0.15,2,0.79,0.93,Above and Underground Network,Average,4,Average,1.77,High,Average,Average,NO,0.01,176,8,NO,NO,NO,NO,NONE
QN76,Baisley Park,Queens,"39,079","24,737.82","11,142",1.58,51,0.59,Low,0.76,High,0.16,High,1.9,Medium Low,1,Low,2,Medium Low,0.06,Medium Low,1,1,2,17,0,false,539,"11,142","11,681",229,Low,"35,735",442,"1,552",0,386,false,3,8,9,1,Medium Low,114,0,13,0,3,0,0,19,6,0.49,Medium Low,0,,1,2,1,0,Above Ground (Utility Pole Presence),Low,3,Low,0.98,Medium High,Low,High,YES,0.05,73,0,NO,NO,NO,NO,NONE
QN98,Airport,Queens,0,0,0,8.16,70,0,Low,0,Low,0,Low,1.1,Low,1.3,Medium-High,2,Medium Low,0.95,High,0.11,0.11,0,0,0,false,,,,,,,,,,,,,,,,,,,,,,,0,3,0,0.04,Low,,,,,,,,,,,,,,,,,,,,,,,
QN99,park-cemetery-etc-Queens,Queens,"1,785",159.66,55,11.18,196,0.76,Medium High,0.62,Low,0,Low,1.3,Low,1.2,Medium-Low,2,Medium Low,0.84,High,0.38,0.38,1,12,0,false,,,,,,,,,,,,,,,,,,,,,,,7,9,9,0.09,Low,,,,,,,,,,,,,,,,,,,,,,,
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,Staten Island,"28,698","5,672.15","10,105",5.06,101,0.82,High,0.75,Medium High,0.03,Low,1.8,Medium Low,1.2,Low,2,Medium Low,0.15,Medium High,0.98,0.98,0,5,0,false,870,"10,105","10,975",109,Low,"29,409",153,610,0,0,false,0,8,12,0,Medium Low,168,10,12,1,3,0,0,0,55,0.54,Medium Low,0,,1,1,0.98,0,Above Ground (Utility Pole Presence),Low,3,Low,0.93,Medium High,Low,High,NO,0,109,0,NO,NO,NO,NO,NONE
SI05,New Springville-Bloomfield-Travis,Staten Island,"40,907","3,479.59","13,780",11.76,166,0.78,High,0.69,Medium Low,0.02,Low,1.8,Low,1.2,Medium-Low,5,High,0.31,High,0.84,0.84,2,5,0,false,"1,868","13,780","15,648",94,Low,"42,440",364,"1,328",0,502,true,2,5,22,0,Low,204,0,20,0,3,0,0,0,40,0.24,Low,0,,1,1,0.42,0,Above Ground (Utility Pole Presence),Low,3,Low,1.34,Medium High,Low,High,YES,0.02,121,8,NO,NO,NO,NO,NONE
SI07,Westerleigh,Staten Island,"24,131","10,636.05","8,966",2.27,68,0.79,High,0.74,Medium High,0.02,Low,2,Medium Low,1.3,Medium-Low,3,Medium High,0.02,Low,1,1,1,8,0,false,"1,410","8,966","10,376",153,Low,"24,371",92,546,0,0,false,0,2,10,0,Low,157,33,9,0,1,0,0,1,28,0.43,Medium Low,0,,1,1,1,0,Above Ground (Utility Pole Presence),Low,3,Low,0.89,Medium High,Low,High,YES,0.02,387,0,NO,NO,NO,NO,NONE
SI08,Grymes Hill-Clifton-Fox Hills,Staten Island,"21,636","15,978.04","7,509",1.35,32,0.65,Medium Low,0.71,Medium High,0.05,Medium High,1.9,Medium Low,1.2,Medium-Low,2,Medium Low,0.09,Medium Low,1,1,0,0,0,false,673,"7,509","8,182",256,Medium Low,"22,994",489,"1,256",0,0,false,0,3,5,0,None,94,4,8,0,0,0,0,1,22,0.72,Medium High,0,,1,1,1,0,Above Ground (Utility Pole Presence),Low,3,Low,0.71,Medium Low,Low,High,YES,0.23,901,13,NO,NO,NO,NO,NONE
SI11,Charleston-Richmond Valley-Tottenville,Staten Island,"24,794","4,745.21","8,157",5.23,83,0.79,High,0.71,Medium High,0.03,Low,1.8,Medium Low,1.2,Medium-Low,2,Medium Low,0.18,Medium High,0.95,0.95,1,1,0,false,640,"8,157","8,797",106,Low,"25,934",125,680,0,0,true,0,4,35,0,Medium Low,112,1,2,0,1,0,0,1,34,0.42,Medium Low,0,,1,1,0.97,0,Above Ground (Utility Pole Presence),Low,3,Low,0.75,Medium Low,Low,High,YES,0.04,174,4,NO,NO,NO,NO,NONE
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,Staten Island,"29,956","9,378.8","10,214",3.19,51,0.68,Medium Low,0.66,Low,0.05,Medium High,1.9,Medium Low,1.2,Low,2,Medium Low,0.14,Medium High,0.96,0.96,2,0,0,false,538,"10,214","10,752",211,Low,"31,963",821,"2,185",0,607,true,3,3,12,0,Low,128,0,16,0,5,0,0,0,25,0.49,Medium Low,0,,1,1,0.71,0,Above Ground (Utility Pole Presence),Average,4,Average,0.91,Medium High,Average,Average,YES,0.04,104,21,YES,YES,YES,NO,"Low underground interference from existing utilities.  
Low make-ready requirements. Of the sample poles surveyed 62% required make-ready, and 1% required pole replacement. 
General findings for this area include; poles with power attachment removed leaving only the telecom space remaining, and spacing issues with current utility attachments in the telecom space.
Additionally, some locations had telecom service drops crossing the roadway without proper clearance."
SI14,Grasmere-Arrochar-Ft. Wadsworth,Staten Island,"15,896","10,828.88","5,667",1.47,41,0.74,Medium High,0.69,Medium Low,0.05,Medium High,1.7,Low,1.3,Medium-High,2,Medium Low,0.26,High,0.94,0.94,2,3,2,true,876,"5,667","6,543",160,Low,"16,215",207,667,0,422,false,1,4,2,0,None,77,2,11,1,5,2,0,1,8,0.22,Low,0,,1,1,0.71,0,Above Ground (Utility Pole Presence),Low,3,Low,0.55,Medium Low,Low,High,NO,0.01,401,16,NO,NO,NO,NO,NONE
SI22,West New Brighton-New Brighton-St. George,Staten Island,"33,175","16,500.07","12,155",2.01,53,0.65,Medium Low,0.6,Low,0.03,Low,1.9,Medium Low,1.2,Medium-Low,3,Medium High,0.07,Medium Low,0.97,0.97,3,18,0,false,603,"12,155","12,758",241,Low,"39,327",882,"2,601",0,"2,137",true,5,10,16,0,High,165,68,21,0,8,0,4,2,33,0.66,Medium High,0,,1,2,0.97,0,Above Ground (Utility Pole Presence),Low,3,Low,1.08,Medium High,Low,High,YES,0.13,113,0,NO,NO,NO,NO,NONE
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Staten Island,"32,276","4,867.1","11,525",6.63,93,0.78,High,0.72,Medium High,0.03,Low,1.9,Medium Low,1.1,Low,2,Medium Low,0.12,Medium High,0.98,0.98,2,3,2,true,"1,389","11,525","12,914",139,Low,"31,576",183,886,0,0,false,0,8,5,3,Low,173,0,10,0,0,1,0,0,50,0.54,Medium Low,0,,1,1,0.79,0,Above Ground (Utility Pole Presence),Low,3,Low,1.11,Medium High,Low,High,YES,0.04,154,20,NO,NO,NO,NO,NONE
SI25,Oakwood-Oakwood Beach,Staten Island,"20,618","10,272.79","7,917",2.01,52,0.74,Medium High,0.65,Low,0.04,Medium Low,1.9,Medium Low,1.2,Medium-Low,2,Medium Low,0.06,Medium Low,0.99,0.99,0,4,4,true,"1,143","7,917","9,060",174,Low,"22,059",156,575,0,0,false,0,2,14,0,Low,115,6,11,0,1,4,0,0,21,0.4,Low,0,,1,1,0.97,0,Above Ground (Utility Pole Presence),Low,3,Low,0.78,Medium Low,Low,High,NO,0,508,17,NO,NO,NO,NO,NONE
SI28,Port Richmond,Staten Island,"19,141","14,652.27","6,498",1.31,61,0.67,Medium Low,0.64,Low,0.04,Medium Low,1.9,Medium Low,1.2,Low,3,Medium High,0.12,Medium High,0.99,0.99,2,1,0,false,792,"6,498","7,290",120,Low,"22,650",390,"1,006",0,0,true,0,6,9,0,Low,105,23,5,0,4,0,0,0,18,0.3,Low,0,,0.99,1,1,0,Above Ground (Utility Pole Presence),Low,3,Low,0.62,Medium Low,Low,High,NO,0,154,0,NO,NO,NO,NO,NONE
SI32,Rossville-Woodrow,Staten Island,"21,397","9,182.84","7,586",2.33,56,0.81,High,0.74,Medium High,0.04,Medium Low,1.9,Medium Low,1.1,Low,2,Medium Low,0.1,Medium Low,1,1,1,1,0,false,814,"7,586","8,400",150,Low,"22,560",131,842,0,0,false,0,1,8,0,None,47,0,1,0,0,0,0,0,29,0.52,Medium Low,0,,1,1,0.99,0,Above Ground (Utility Pole Presence),Low,3,Low,0.71,Medium Low,Low,High,NO,0,100,0,NO,NO,NO,NO,NONE
SI35,New Brighton-Silver Lake,Staten Island,"18,083","10,695.45","6,037",1.69,42,0.75,Medium High,0.68,Medium Low,0.04,Medium Low,2,Medium High,1.2,Medium-Low,3,Medium High,0.01,Low,1,1,1,1,0,false,632,"6,037","6,669",159,Low,"17,920",119,797,0,0,false,0,3,6,0,Low,119,63,7,0,3,0,2,0,16,0.38,Low,0,,1,1,1,0,Above Ground (Utility Pole Presence),Average,4,Average,0.58,Medium Low,Average,Average,YES,0.05,179,0,NO,NO,NO,NO,NONE
SI36,Old Town-Dongan Hills-South Beach,Staten Island,"24,927","10,371.16","8,641",2.4,60,0.72,Medium High,0.67,Low,0.03,Low,1.9,Medium Low,1.2,Medium-Low,2,Medium Low,0.07,Medium Low,0.99,0.99,1,20,8,true,899,"8,641","9,540",159,Low,"25,478",369,"1,127",0,506,false,4,2,23,0,Low,105,26,14,0,1,6,0,1,13,0.23,Low,0,N/A,1,1,0.96,0,Above Ground (Utility Pole Presence),Low,3,Low,0.8,Medium Low,Low,High,YES,0.04,184,8,YES,YES,YES,NO,"Average to low underground interference from existing utilities.  
Low make-ready requirements. Of the sample poles surveyed 29% required make-ready, and 0% required pole replacement. 
General findings for this area include; spacing issues with current utility attachments in the telecom space and some existing attachments are lashed together with nylon straps.
Average to high underground interference from existing utilities."
SI37,Stapleton-Rosebank,Staten Island,"26,247","15,720.73","9,512",1.67,50,0.68,Medium Low,0.63,Low,0.03,Low,1.9,Medium Low,1.3,Medium-Low,3,Medium High,0.09,Medium Low,0.98,0.98,1,5,0,false,790,"9,512","10,302",206,Low,"39,068",676,"1,693",0,970,false,4,6,9,0,Low,146,27,25,0,3,0,6,2,22,0.48,Medium Low,0,N/A,0.99,2,0.96,0,Above Ground (Utility Pole Presence),Low,3,Low,0.87,Medium High,Low,High,YES,0.1,128,12,NO,NO,NO,NO,NONE
SI45,New Dorp-Midland Beach,Staten Island,"21,358","10,741.65","7,612",1.99,53,0.77,Medium High,0.69,Medium Low,0.03,Low,2,Medium Low,1.2,Medium-Low,3,Medium High,0.03,Low,0.99,0.99,1,23,18,true,"1,133","7,612","8,745",165,Low,"22,284",238,808,0,0,false,0,5,20,0,Low,112,48,23,0,4,16,0,1,14,0.28,Low,0,N/A,1,1,0.98,0,Above Ground (Utility Pole Presence),Low,3,Low,0.75,Medium Low,Low,High,NO,0,152,0,NO,NO,NO,NO,NONE
SI48,Arden Heights,Staten Island,"26,482","14,646.03","9,048",1.81,40,0.82,High,0.78,High,0.03,Low,2,Medium Low,1,Low,1,Low,0.03,Low,1,1,0,0,0,false,913,"9,048","9,961",249,Medium Low,"25,908",87,730,0,0,false,0,2,8,0,Low,58,0,4,0,1,0,0,0,15,0.38,Low,0,N/A,1,1,1,0,Above Ground (Utility Pole Presence),Low,3,Low,0.86,Medium Low,Low,High,NO,0,139,0,NO,NO,NO,NO,NONE
SI54,Great Kills,Staten Island,"43,602","13,564.82","15,221",3.21,79,0.82,High,0.74,Medium High,0.03,Low,2,Medium High,1.1,Low,3,Medium High,0.03,Low,1,1,2,2,0,false,665,"15,221","15,886",201,Low,"41,197",244,"1,114",0,0,false,0,5,27,0,Low,159,25,13,0,0,0,0,1,37,0.48,Medium Low,0,N/A,1,1,0.93,0,Above Ground (Utility Pole Presence),Low,3,Low,1.39,Medium High,Low,High,NO,0,246,0,NO,NO,NO,NO,NONE
SI99,park-cemetery-etc-Staten Island,Staten Island,7,8.13,0,0.86,8,0,Low,0,Low,0,Low,1.3,Low,1,Low,1,Low,0.88,High,0.18,0.18,0,0,0,false,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,Low,,,,,,,,,,,,,,,,,,,,,,,
